title,type,rating,price,description,url,preparation_time,preparation_temperature,preparation_amount,Бисквитный,Мёд,Цитрусы,Цветочный,Фруктовый,Пряные травы,Специи,Ржаной хлеб,Древесный,Ягодный,Мятный,Сухофрукты,Осенний лист,Грибной,Сливочный,Ореховый,Бальзамический,Хлебный,Овощной,Землистый,Шоколадный,Горчинка,Копченый,Черносливовый,Темный солод,Минеральный,Травянистый,Табачный,Молочный,Коньячный,Шампанское,Кислинка,Терпкость,Кофейный,Жареные семечки подсолнуха,Сладость,Хвойный,Зеленое яблоко
Чэнь Жоу Гуй (2018),ulun,100.0,4700,"Выдержанный сильно-ферментированный улун из побегов сорта Жоугуй. В сухом виде: крупные, темно-коричневые чайные листья продольной скрутки. Аромат сдержанный, копченый. Настой прозрачный, оттенка темного янтаря. Букет готового чая теплый, многогранный, пряно-древесный с фруктовыми, хлебными, копчеными и табачными нотками. Аромат глубокий, сложны, хлебно-пряный. Вкус плотный, мягкий, сладковатый, минеральный, с легкой фруктовой терпчинкой, нюансами специй и освежающим послевкусием. Заваривать горячей водой (92-95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 7 завариваний. Прекрасный выбор для церемонии гунфуча. Воздействие согревающее, медитативное.",https://moychay.ru/catalog/ulun/uishanskij_ulun/chen-zhou-guy-2018,3,95,6,,,,,60,60,,,80,,,,,,,,,80,,,,,,,,,,40,,,,,,,,,,
Хуан Чжисян,ulun,0,1860,"Сильно-ферментированный улун «Хуанчжисян» («Аромат цветка Хуанчжи»,) урожай 2023 года. В сухом виде: крупные, лилово-коричневые жгутики скрученных чайных листьев. Аромат интенсивный, фруктово-цветочный. Настой прозрачный, светлого оттенка красного дерева. Букет готового чая яркий, цветочно-ягодный с нотками пряных трав и древесных смол. Аромат глубокий и теплый, цветочно-ягодный. Вкус плотный, в меру терпкий, пряный, сладковатый, с ягодной кислинкой и освежающим послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 8 завариваний. Воздействие согревающее, тонизирующее.",https://moychay.ru/catalog/ulun/guandunskij_ulun/huan-chzhisyan,3,92,6,,,,80,,80,80,,,80,,,,,,,80,,,,,,,,,,,,,,,,,,,,,
Сюэ Басянь,ulun,50.0,1740,"Сильно-ферментированный улун «Сюэ Басянь» («Восемь Бесссмертных»,) осенний урожай 2022 года, средний огонь. В сухом виде: крупные, лилово-коричневые жгутики скрученных чайных листьев. Аромат интенсивный, фруктово-цветочный. Настой прозрачный, светлого оттенка красного дерева. Букет готового чая яркий, цветочно-ягодный с нотками меда, пряных трав и древесных смол. Аромат нежный и теплый, цветочно-ягодный. Вкус плотный, в меру терпкий, пряный, сладковатый, с ягодной кислинкой и освежающим послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 9 завариваний. Воздействие согревающее, тонизирующее.",https://moychay.ru/catalog/ulun/guandunskij_ulun/syue-basyan,3,92,6,,80,,80,,,60,,,80,,,,,,,80,,,,,,,,,,,,,,,,,,,,,
Чунь Ву Е Даньцун,ulun,100.0,1430,"Сильно-ферментированный улун «Ву Е» («Темный лист»,) весенний («Чунь») урожай 2023 года. В сухом виде: крупные, лилово-коричневые жгутики скрученных чайных листьев. Аромат интенсивный, фруктово-цветочный. Настой прозрачный, светлого оттенка красного дерева, в процессе заваривания желтеет. Букет готового чая яркий, цветочно-ягодный с медовыми, пряными, древесными и цитрусовыми нотками. Аромат нежный и теплый, цветочно-ягодный. Вкус плотный, в меру терпкий, пряный, сладковатый, с лимонной кислинкой и освежающим послевкусием. Заваривать горячей водой (90-92°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 5 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 9 завариваний. Воздействие согревающее, тонизирующее.",https://moychay.ru/catalog/ulun/guandunskij_ulun/chun-vu-e-dantsun,3,92,5,,,100,100,,,80,,60,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миланьсян Даньцун,ulun,100.0,1160,"Сильно-ферментированный улун «Миланьсян» («Аромат медовой орхидеи»,) урожай 2023 года. В сухом виде: крупные, лилово-коричневые жгутики скрученных чайных листьев. Аромат интенсивный, фруктово-цветочный. Настой прозрачный, светлого оттенка красного дерева. Букет готового чая яркий, цветочно-ягодный с древесными, цитрусовыми и пряными нотками. Аромат нежный, цветочно-ягодный. Вкус плотный, терпкий, пряный, сладковатый, с цитрусовой кислинкой и освежающим послевкусием. Заваривать горячей водой (90-92°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 5 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 8 завариваний. «Миланьсян» — отличный выбор для эмоциональной перезагрузки — сильный, бодрящий, согревающий.",https://moychay.ru/catalog/ulun/guandunskij_ulun/milansyan-dantsun,3,92,5,,,60,80,,,80,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Фэнхуан Даньцун Ча,ulun,72.0,890,"Сильно-ферментированный улун «Фэнхуан Даньцун» («Одиночные кусты с гор Феникса») урожай 2023 года. В сухом виде: крупные, лилово-коричневые жгутики скрученных чайных листьев. Аромат сдержанный, фруктово-древесный с копченой ноткой. Настой прозрачный, светлого янтарного оттенка. Букет готового чая яркий, древесно-ягодный с цветочными, цитрусовыми и пряными нотками. Аромат теплый, пряно-цветочный. Вкус плотный, терпкий, пряный, сладковатый, с цитрусовой кислинкой и освежающим послевкусием. Заваривать горячей водой (85-92°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 5 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 8 завариваний. Воздействие согревающее, тонизирующее – отличный выбор, чтобы поддерживать бодрость и концентрацию внимания в течение дня.",https://moychay.ru/catalog/ulun/guandunskij_ulun/fenhuan-dantsun-cha,3,90,5,,,60,60,,,80,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гуйчжоу Те Гуаньинь,ulun,0,1860,"Весенний урожай 2023 года. В сухом виде: среднего размера комочки скрученных чайных побегов, оливково-зеленого оттенка, с небольшими черенками. Аромат сдержанный, цветочный. Настой прозрачный, светло-зеленого оттенка. Букет готового чая свежий, травянисто-цветочный с пряными, молочными и фруктовыми нотками. Аромат нежный, травянисто-цветочный. Вкус плотный, шелковистый, сладковатый, с легкой терпкостью виноградной кожицы, ягодной кислинкой и освежающим послевкусием. Заваривать горячей водой (85-90°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 8 завариваний. Воздействие освежающее, мягкое тонизирующее.",https://moychay.ru/catalog/ulun/guychzhou-te-guanin,5,85,6,,,,80,60,,40,,,,,,,,,,,,,,,,,,,,100,,40,,,,,,,,,
Лишань Улун Циньвэй,ulun,0,5900,"Высокогорный улун с горы Лишань, весенний урожай 2023. В сухом виде: небольшие темно-зеленые комочки скрученных чайных побегов. Аромат интенсивный, пряно-цветочный. Настой прозрачный, светлого, зеленовато-желтого оттенка. Букет готового чая свежий, многогранный, пряно-цветочный с фруктовыми и ореховыми нотками. Аромат высокий и нежный, пряно-цветочный. Вкус плотный и гладкий, маслянистый, сладкий, с нюансами специй, легкой терпкостью виноградной кожицы, фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (85°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат 12 завариваний. Превосходный чай, выбор гурманов и искушенных любителей.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/lishan-ulun-tsinvey,2,85,6,,,,80,60,,80,,,,,,,,,60,,,,,,,,,,,80,,,,,,,,,,,
Сюэ Улун,ulun,100.0,7200,"В сухом виде: среднего размера бурые комочки скрученных чайных побегов. Аромат интенсивный, пряно-ореховый с бисквитной ноткой. Настой прозрачный, виноградного оттенка. Букет готового чая многогранный, пряно-травянистый с бисквитными, цветочными, ореховыми и фруктовыми нотками. Аромат теплый, орехово-цветочный. Вкус плотный, гладкий, маслянистый и сладкий, с легкой терпкостью виноградной кожицы, фруктовой кислинкой и долгим послевкусием. Заваривать горячей водой (90-92°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, затем, начиная с экспозиции в 5-10 секунд и увеличив время выдержки до 2 минут, можно заварить 10 раз. Отличный выбор для церемонии гунфуча. Согревает, снимает напряжение, приводит в порядок мысли и чувства.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/syue-ulun,10,92,6,60,,,60,60,80,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,
Наньтоу Баочжун Ча,ulun,90.0,1970,"Высокогорный улун из округа Наньтоу, весенний урожай 2023. В сухом виде: скрученные буро-зеленые чайные побеги с длинными черенками. Аромат интенсивный, пряно-цветочный. Настой прозрачный, светлого, зеленовато-желтого оттенка. Букет готового чая свежий, многогранный, пряно-цветочный с древесными и фруктовыми нотками. Аромат высокий и нежный, пряно-цветочный. Вкус плотный и гладкий, маслянистый, сладковатый, немного терпкий, пряный, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (85°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат 12 завариваний. Отличный выбор для церемонии гунфуча.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/nantou-baochzhun-cha,3,85,6,,,,80,60,80,60,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Сы Цзи Чунь Дун Пянь (Весна Четырех Сезонов, зимний сбор)",ulun,96.0,1290,"В сухом виде: небольшие оливково-зеленые комочки скрученных чайных побегов. Аромат интенсивный, пряно-цветочный. Настой прозрачный, светлого, зеленовато-желтого оттенка. Букет готового чая свежий, травянисто-цветочный с пряными, ореховыми и фруктовыми нотками. Аромат яркий, пряно-цветочный. Вкус тонкий, мягкий, шелковистый, сладковатый, немного пряный, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (85°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат 10 завариваний. Воздействие освежающее, легкое тонизирующее, самое позитивное.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/sy-tszi-chun-dun-pyan-vesna-chetyreh-sezonov-zimniy-sbor,3,85,6,,,,80,60,,60,,,,,,,,,40,,,,,,,,,,,80,,,,,,,,,,,
Чэнь Нянь Лао Ча (1983),ulun,0,13700,"В сухом виде: мелкие темно-коричневые комочки скрученных чайных побегов. Аромат сдержанный, древесный с ноткой сухофруктов. Настой прозрачный, охристо-желтого оттенка. Букет готового чая зрелый, многогранный, пряно-древесный, с коньячными, фруктовыми, кофейными и бальзамическими нотками. Аромат теплый, сложный, пряно-древесный. Вкус плотный, мягкий, шелковистый, сладковатый, немного пряный, с фруктовой кислинкой – сильно меняется на протяжении чаепития, раскрывается постепенно, играя разными гранями. Заваривать горячей водой (95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, после чего, начиная с экспозиции в 10 секунд и доведя время заваривания до 2 минут, можно заварить 10 раз. Превосходный выдержанный чай для гурманов и искушенных ценителей.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/chen-nyan-lao-cha-1983,10,95,6,,,,,,80,,,100,,,80,,,,,40,,,,,,,,,,,,,80,,,,,,,,
Чэнь Нянь Тан Бэй Лао Ча (2014),ulun,100.0,4600,"Выдержанный улун, в процессе изготовления прогретый на углях. В сухом виде: небольшие темно-коричневые комочки скрученных чайных побегов. Аромат сдержанный, фруктово-пряный. Настой прозрачный, охристо-желтого оттенка. Букет готового чая зрелый, многогранный, пряно-древесный, с фруктовыми, ореховыми и коньячными нотками. Аромат теплый, сложный, пряно-древесный. Вкус плотный, шелковистый, сладковатый, немного пряный, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, после чего, начиная с экспозиции в 10 секунд и доведя время заваривания до 2 минут, можно заварить 10 раз. Воздействие согревающее, мягкое тонизирующее.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/chen-nyan-tan-bey-lao-cha-2014,10,95,6,,,,,60,60,,,80,,,,,,,40,,,,,,,,,,,,,,40,,,,,,,,
Тяньчи Улун,ulun,100.0,6900,"Высокогорный улун «Небесное озеро», весенний урожай 2023. В сухом виде: небольшие, оливково-зеленые комочки скрученных чайных побегов. Аромат интенсивный, пряно-цветочный. Настой прозрачный, виноградного оттенка. Букет готового чая свежий, травянисто-цветочный с пряными, ореховыми и фруктовыми нотками. Аромат яркий, пряно-цветочный. Вкус плотный, мягкий, маслянистый, сладковатый, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (85-90°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат 10 завариваний. Воздействие освежающее, легкое тонизирующее, самое позитивное.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/tyanchi-ulun,3,90,6,,,,80,80,80,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,
Гаоцзи Цилай Шань Улун,ulun,100.0,5700,"Высокогорный улун с горы Цилай, весенний урожай 2023. В сухом виде: небольшие, оливково-зеленые комочки скрученных чайных побегов. Аромат интенсивный, пряно-цветочный. Настой прозрачный, виноградного оттенка, в процессе заваривания желтеет. Букет готового чая свежий, травянисто-цветочный с пряными, ореховыми и фруктовыми нотками. Аромат яркий, пряно-цветочный. Вкус плотный, мягкий, маслянистый, сладковатый, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (85-90°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат 10 завариваний. Прекрасный выбор для церемонии гунфуча. Воздействие освежающее, умеренно тонизирующее.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/gaotszi-tsilay-shan-ulun,3,90,6,,,,80,60,80,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,
Хуа Ган Улун,ulun,60.0,5700,"В сухом виде: среднего размера, оливково-зеленые комочки скрученных чайных побегов. Аромат интенсивный, пряно-цветочный. Настой прозрачный, виноградного оттенка, в процессе заваривания желтеет. Букет готового чая свежий, травянисто-цветочный с пряными, ореховыми и фруктовыми нотками. Аромат яркий, пряно-цветочный. Вкус плотный, мягкий и сладкий, маслянистый, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (85-90°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат 10 завариваний. Прекрасный выбор для церемонии гунфуча. Воздействие освежающее, умеренно тонизирующее",https://moychay.ru/catalog/ulun/tajvanskij_ulun/hua-gan-ulun,3,90,6,,,,80,60,,60,,,,,,,,,80,,,,,,,,,,,80,,,,,,,,,,,
Хэхуан Улун,ulun,100.0,4900,"В сухом виде: крупные, сине-зеленые комочки скрученных чайных побегов. Аромат интенсивный, пряно-цветочный. Настой прозрачный, виноградного оттенка. Букет готового чая свежий, травянисто-цветочный с пряными, ореховыми и фруктовыми нотками. Аромат интенсивный, яркий, пряно-цветочный. Вкус плотный, гладкий и сладкий, исключительно маслянистый, чуть пряный, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (85-90°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат 12 завариваний. Прекрасный выбор для церемонии гунфуча. Воздействие освежающее, умеренно тонизирующее.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/hehuan-ulun,3,90,6,,,,80,80,,20,,,,,,,,,100,,,,,,,,,,,80,,,,,,,,,,,
Гаошань Дундин Дун Ча,ulun,100.0,3100,"Высокогорный зимний «Дундин» сделан поздней осенью 2022 в районе Лугу округа Наньтоу. В сухом виде: среднего размера, оливково-зеленые комочки скрученных чайных побегов. Аромат интенсивный, пряно-цветочный. Настой прозрачный, виноградного оттенка, в процессе заваривания желтеет. Букет готового чая свежий, травянисто-цветочный с пряными, ореховыми и фруктовыми нотками. Аромат яркий, пряно-цветочный. Вкус плотный, гладкий и сладкий, маслянистый, чуть пряный, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (85-90°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат 10 завариваний. Прекрасный выбор для церемонии гунфуча. Воздействие освежающее, умеренно тонизирующее.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/gaoshan-dundin-dun-cha,3,90,6,,,,80,60,,60,,,,,,,,,60,,,,,,,,,,,80,,,,,,,,,,,
Бай Мао Хоу Улун Бай Ча,ulun,100.0,7900,"Сорт Бай Мао Хоу 白毛猴 (Беловолосая обезьяна) родом из уезда Чжэнхэ провинции Фуцзянь. На Тайвань он был вывезен в конце эпохи Цин и интродуцирован в северном чайном регионе. Из-за низкой урожайности и подверженности заболеваниям сорт не был популярен у фермеров и его плантации постепенно вытесняли другие культивары; в настоящее время сохранилось лишь несколько старых садов в районе Пинлинь. Однако в последние годы внимание чайного рынка привлекла сделанная на основе этого сорта «Восточная красавица». Пушистая почка, нежные листья, медовый аромат и высокое качество готового чая быстро сделали его востребованным и дефицитным. Да, на Тайване Беловолосых обезьян выращивать нелегко, они не подходят для приготовления весеннего и зимнего чая, зато идеальны для летнего сбора и технологии «Восточной красавицы». Данный образец является в некотором роде экспериментальным, так как в процессе обработки были применены элементы технологии производства белого чая. В сухом виде: среднего размера, бордово-коричневые листики слабой скрутки, тонкие черенки и серебристые почки. Аромат тонкий, древесно-цветочный. Настой прозрачный, в процессе чаепития оттенок меняется с виноградного на желтый и затем на янтарный. Букет готового чая утоненный, многогранный, цветочно-ягодный, с нотками меда, сухофруктов, шампанских вин и специй. Аромат нежный, сложный, цветочно-ягодный. Вкус чистый, мягкий, шелковистый, сладковатый, пряный, с ягодной кислинкой – раскрывается постепенно и сильно меняется на протяжении чаепития. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 12 завариваний. Великолепный церемониальный чай для гурманов и искушенных ценителей.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/bay-mao-hou-ulun-bay-cha,10,95,6,,60,,80,,,60,,,80,,,,,,,,,,,,,,,,,,,,,60,,,,,,,
Гаофа Сань Фэнь Хо,ulun,100.0,3900,"Улун «Гаофа» («Успех»), в процессе обработки запеченный на углях, умеренный огонь. «Сань фэнь хо» буквально означает «три части огня» - так чайные технологи часто называют умеренный прогрев (полная фраза звучит как «три части огня на семь частей чая», а в случае сильного прогрева – «три части чая на семь частей огня», таким образом вкус готового продукта определяется через их соотношение). В сухом виде: среднего размера коричневые жгутики скрученных листьев. Аромат интенсивный, хлебно-пряный с ноткой сухофруктов. Настой прозрачный, виноградного оттенка. Букет готового чая яркий, многогранный, пряно-цветочный, с ореховыми, бисквитными и ягодными нотками. Аромат интенсивный, теплый, пряно-цветочный. Вкус плотный, мягкий, маслянистый, сладкий, с легкой фруктовой кислинкой, нюансами специй и долгим послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 10 завариваний. Воздействие согревающее, умеренно тонизирующее.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/gaofa-san-fen-ho,3,95,6,60,,,100,,80,,,,80,,,,,,80,,,,,,,,,,,,,,,,,,,,,,
Ци Лань Сань Фэнь Хо,ulun,100.0,5100,"Улун «Цилань» («Чудесная орхидея»), в процессе обработки запеченный на углях, умеренный огонь. «Сань фэнь хо» буквально означает «три части огня» - так чайные технологи часто называют умеренный прогрев (полная фраза звучит как «три части огня на семь частей чая», а в случае сильного прогрева – «три части чая на семь частей огня», таким образом вкус готового продукта определяется через их соотношение). В сухом виде: среднего размера коричневые жгутики скрученных листьев. Аромат интенсивный, хлебно-пряный с ноткой сухофруктов. Настой прозрачный, виноградного оттенка. Букет готового чая яркий, многогранный, пряно-цветочный, с ореховыми, бисквитными и ягодными нотками. Аромат интенсивный, теплый, пряно-цветочный. Вкус плотный, мягкий, маслянистый, сладкий, с легкой фруктовой кислинкой, нюансами специй и долгим послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 10 завариваний. Прекрасный выбор для церемонии гунфуча. Воздействие согревающее, умеренно тонизирующее.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/tsi-lan-san-fen-ho,3,92,6,60,,,100,,80,,,,80,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
Фэнхуан Улун Бай Ча,ulun,80.0,4800,"Белый чай, сделанный из побегов тайваньского культивара Улун. В сухом виде: крупные, легкие листья песочно-бурых оттенков с длинными черенками. Аромат сдержанный, травятисто-цветочный. Настой прозрачный, светло-зеленого оттенка. Букет готового чая свежий, травянисто-цветочный с нотками мяты, малинового листа и цитрусов. Аромат нежный, травянисто-цветочный. Вкус плотный, шелковистый, сладковатый, с ягодной кислинкой и долгим лимонно-мятным послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 5-6 г на 100 мл. Для первого раза настоять 20 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 10 завариваний. Воздействие освежающее, тонизирующее.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/fenhuan-ulun-bay-cha,7,90,6,,,80,80,,,,,,40,,,,,,,,,,,,,,,,,80,,,,,,,,,,,
Цзинь Чжанжун Лао Ча (1979),ulun,100.0,17600,"В сухом виде: крупные, изогнутые, скрученные, красно-коричневые чайные побеги с тонкими черенками. Аромат интенсивный, фруктово-пряный с копченой ноткой. Настой прозрачный, янтарного оттенка. Букет готового чая зрелый, многогранный, фруктово-древесный, с бальзамическими, коньячными, пряными, ванильными и шоколадными нотками. Аромат сложный, теплый, фруктово-древесный. Вкус плотный, мягкий, шелковистый, сладковатый, с тонкой кислинкой, нюансами специй и долгим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 5-6 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 12 завариваний. Прекрасный выбор для церемонии гунфуча. Воздействие согревающее, умеренно тонизирующее.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/tszin-chzhanzhun-lao-cha-1979,3,95,6,,,,,60,60,,,80,,,,,,,,80,,,,,,,,,,,,,60,,,,,,,,
Лаохэ Баочжун Лао Ча (1985),ulun,80.0,18500,"В сухом виде: среднего размера скрученные, красно-коричневые чайные листья тонкими черенками. Аромат очень сдержанный, фруктово-древесный. Настой прозрачный, янтарно-желтого оттенка. Букет готового чая зрелый, многогранный, фруктово-древесный, с бальзамическими, коньячными, пряными и ванильными нотками. Аромат сложный, теплый, фруктово-пряный. Вкус плотный, мягкий, шелковистый, сладковатый, с тонкой кислинкой и долгим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 12 завариваний. Прекрасный выбор для церемонии гунфуча. Воздействие согревающее, умеренно тонизирующее.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/laohe-baochzhun-lao-cha-1985,10,95,6,,,,,80,,60,,80,,,,,,,,60,,,,,,,,,,,,,60,,,,,,,,
Пинлинь Баочжун Лао Ча (1992),ulun,80.0,17500,"В сухом виде: среднего размера жгутики скрученных, красно-коричневых чайных листьев тонкими черенками. Аромат интенсивный, острый, древесно-бальзамический с землистой ноткой. Настой прозрачный, янтарного оттенка. Букет готового чая зрелый, многогранный, древесно-ягодный, с бальзамическими, коньячными, пряными и ванильными нотками. Аромат сложный, теплый, древесно-ягодный. Вкус плотный, мягкий, шелковистый, сладкий, с тонкой кислинкой и долгим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 12 завариваний. Прекрасный выбор для церемонии гунфуча. Воздействие согревающее, умеренно тонизирующее.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/pinlin-baochzhun-lao-cha-1992,3,95,6,,,,,,60,,,80,80,,,,,,,80,,,,,,,,,,,,,60,,,,,,,,
Вэньшань Баочжун Чэнь Нянь Ча (1986),ulun,100.0,17100,"В сухом виде: среднего размера бордово-коричневые жгутики скрученных листьев, их фрагменты и тонкие черенки. Аромат сдержанный, древесный с ноткой сухофруктов. Настой прозрачный, оттенка красного дерева. Букет готового чая зрелый, многогранный, фруктово-древесный, с коньячными, бальзамическими и пряными нотками. Аромат теплый, сложный, фруктовый. Вкус мягкий, шелковистый, сладковатый, с фруктовой кислинкой и нюансами специй – сильно меняется на протяжении чаепития, играя множеством оттенков. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, после, начиная с экспозиции в 10 секунд и доведя время до 2 минут, можно заварить 12 раз. Отличный выдержанный чай, с многогранным вкусом, чарующим ароматом и согревающим, расслабляющим воздействием.",https://moychay.ru/catalog/ulun/tajvanskij_ulun/venshan-baochzhun-chen-nyan-cha-1986,10,95,6,,,,,80,60,,,80,,,,,,,,60,,,,,,,,,,,,,60,,,,,,,,
